method,source_cents,condition,nuisance_seed,waveform_sha256,repeat,position,elapsed_ms,encoder_source_sha256,python,numpy
legacy-point,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,2,2,8.213176,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,3,0,8.360738,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,3,1,8.276193,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,3,2,11.327837,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,4,0,9.168827,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,4,1,11.359714,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6857,noise-10db,17,499caf974f31e0d58e3e5deff5783d377823b4858ec18111335d17355ae4c24c,4,2,8.922099,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,0,0,9.884652,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,0,1,11.127412,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,0,2,8.647568,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,1,0,11.821305,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,1,1,10.275547,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,1,2,11.029208,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,2,0,10.258884,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,2,1,8.527798,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,2,2,12.039312,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,3,0,8.08182,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,3,1,13.498236,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,3,2,8.544434,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,4,0,9.985125,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,4,1,8.668119,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,7200,clean,17,b215dd1f719de4af8cbd798c6d339ebafc57bb0c3e8aa11d354ee14f79fbb56f,4,2,7.831838,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,0,0,11.714101,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,7200,noise-10db,17,3062987afc20c380c42c2c313cf9ba0ef35af7d4dbfc656b8d9d4c23cbab108d,0,1,8.758085,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
